Short Title,Publication Date,Parent Volume,Original File Name,Full Title,Page Range (original),Page Range (PDF) (1),Excerpt Type,Section / Event Date,Chapter(s),Source Type,Citation Status,Tags,Notes & Description,File Upload,Publication,Title,Author,Case studies
Borghese: day-of program,01/11/1867,,,,,,,,Chapter 4 (1867) (Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,,,
Borghese: post-event report,01/15/1867,,,,,,,,Chapter 4 (1867) (Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,,,
Garrison artillery benefit programme,02/01/1867,,,,,,,,Chapter 4 (1867) (Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,,,
Mutual‑aid society “La Famille” charity ball notice,02/03/1867,,,,,,,,Chapter 4 (1867) (Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,,,
Borghese benefit announced,01/10/1867,,,,,,,,Chapter 4 (1867) (Chapter%204%20(1867)%201eea8fa33dc5814fa184d173a98f0d1b.md),,,,,,,,,
CLHAF1853_T2_pp1-6_PoesiesPopulaires,,1853-5_CLHAF_T2 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1853-5_CLHAF_T2%201eea8fa33dc580cba5f2d0d162ec014e.md),CLHAF1853_T2_pp1-6_PoesiesPopulaires,,,,,,,,,,,,,,,
CLHAF1853_T2_pp25-32_ChansonsPopulaires,,1853-5_CLHAF_T2 (../Volumes%20(Primary%20Source%20Containers)%201eea8fa33dc580f98e0ec5a2126a3d51/1853-5_CLHAF_T2%201eea8fa33dc580cba5f2d0d162ec014e.md),CLHAF1853_T2_pp25-32_ChansonsPopulaires,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ikelmer catalogue,,,,,,,,,Chapter 2 (Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,,,
,,,,,,,,,Chapter 5 (1870) (Chapter%205%20(1870)%201f1a8fa33dc580ce95deff345bdd23f6.md),,,,,,,,,
Ikelmer bankrupcy report/,,,,,,,,,Chapter 2 (Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,,,
Le Roi d'Yvetot/quand un tendron vient dans ces lieux,,,,,,,,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),,,,,,,,,
REVUE DE L'ANNÉE 1862 PIÈCE en TROIS ACTES (La chanson),01/15/1863,,LC 1863.01.15.pdf,,,,,,Chapter 3 (1863) (Chapter%203%20(1863)%201fba8fa33dc5805fa210daed6304e25f.md),,,,,,,,,
,,,,,,,,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),,,,,,,,,
Du camp: mendiants,,,,,,,,,Chapter 3 (1863) (Chapter%203%20(1863)%201fba8fa33dc5805fa210daed6304e25f.md),,,,,,,,,
Le droit: commerson report,,,,,,,,,Chapter 2 (Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,,,
Verite pour tous: commerson report,,,,,,,,,Chapter 2 (Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,,,
Victor Piarzot,,,,,,,,,Chapter 2 (Chapter%202%201eea8fa33dc580db9f31dcac6ac5fe90.md),,,,,,,,,
Ordinance feb 63,,,,,,,,,Chapter 3 (1863) (Chapter%203%20(1863)%201fba8fa33dc5805fa210daed6304e25f.md),,,,,,,,,
Histoire des livres populaires ou de la littérature du colportage… jusqu’à l’établissement de la commission d’examen des livres de colportage – 30 novembre 1852,,,,,,,,,Chapter 1  (Chapter%201%201eea8fa33dc5806cb2dce30b2520afe2.md),,,,,,,,,Timbre de colportage (1852) (../Case%20studies%201fca8fa33dc5802db431ebf4a5371615/Timbre%20de%20colportage%20(1852)%201ffa8fa33dc580a396f7fa4a311ef8c9.md)
